7, 3976,  276;
$9,  258,  601, HL’bš’’‚ŠÚj
$7, 1199,  830, 1199,  830;
$8, 2923, 3977, 3977,  276;
$9,  257,  588,  102,32201;
$1,  835, 1189, 2195,  503;
$2, 2064, 2009, 1969,  161;
$3,64644,50024,64644,50024;
$4,23423,59263,58368,  161;
$5,65535,    1,53188,    0;
$6, 2235, 2069, 2235, 2069;
$7, 1193,  834, 1193,  834;
$8, 2926, 3977, 3976,  276;
$9,  252,  596,  102,32201;
$1,  835, 1188, 2194,  504;
$2, 2057, 2004, 1972,  157;
$3,64644,50024,64644,50024;
$4,23423,60287,58368,  157;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1200,  833, 1200,  833;
$8, 2919, 3977, 3977,  276;
$9,  257,  591,  102,32201;
$1,  834, 1189, 2260,  481;
$2, 2065, 2011, 1972,  160;
$3,64644,50024,64644,50024;
$4,22143,59775,58112,  160;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1195,  835, 1195,  835;
$8, 2919, 3976, 3976,  276;
$9,  258,  596,  102,32201;
$1,  834, 1188, 2199,  505;
$2, 2062, 2006, 1971,  161;
$3,64644,50024,64644,50024;
$4,23423,60287,58624,  161;
$5,65535,    1,53188,    0;
$6, 2235, 2069, 2235, 2069;
$7, 1193,  835, 1193,  835;
$8, 2919, 3977, 3977,  276;
$9,  252,  595,  102,32201;
$1,  835, 1190, 2189,  502;
$2, 2055, 2008, 1970,  160;
$3,64644,50024,64644,50024;
$4,24447,60799,58368,  160;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1195,  834, 1195,  834;
$8, 2926, 3976, 3977,  276;
$9,  257,  602,  102,32201;
$1,  835, 1190, 2194,  502;
$2, 2060, 2005, 1972,  158;
$3,64644,50024,64644,50024;
$4,22143,59007,60160,  158;
$5,65535,    1,53188,    0;
$6, 2236, 2067, 2236, 2067;
$7, 1199,  832, 1199,  832;
$8, 2923, 3976, 3975,  276;
$9,  254,  594,  102,32201;
$1,  835, 1189, 2176,  504;
$2, 2059, 2007, 1975,  160;
$3,64644,50024,64644,50024;
$4,21375,59519,58624,  160;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1192,  832, 1192,  832;
$8, 2923, 3977, 3976,  276;
$9,  256,  596,  102,32201;
$1,  834, 1190, 2191,  505;
$2, 2070, 2008, 1974,  162;
$3,64644,50024,64644,50024;
$4,24447,60543,59648,  162;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1200,  833, 1200,  833;
$8, 2919, 3977, 3976,  276;
$9,  257,  594,  102,32201;
$1,  835, 1190, 2188,  506;
$2, 2063, 2012, 1972,  160;
$3,64644,50024,64644,50024;
$4,22911,61055,58112,  160;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1193,  835, 1193,  835;
$8, 2919, 3976, 3976,  276;
$9,  258,  603,  102,32201;
$1,  835, 1190, 2223,  504;
$2, 2060, 2008, 1977,  159;
$3,64644,50024,64644,50024;
$4,21887,60287,58368,  159;
$5,65535,    1,53188,    0;
$6, 2236, 2068, 2236, 2068;
$7, 1197,  833, 1197,  833;
$8, 2919, 3976, 3977,  276;
$9,  257,  598,  102,32201;
$1,  835, 1189, 2192,  505;
$2, 2059, 2010, 1972,  158;
$3,64644,50024,64644,50024;
$4,24703,61823,59136,  158;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1189,  836, 1189,  836;
$8, 2928, 3976, 3976,  276;
$9,  247,  597,  102,32201;
$1,  835, 1190, 2176,  507;
$2, 2065, 2008, 1977,  160;
$3,64644,50024,64644,50024;
$4,24447,60799,59392,  160;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1200,  835, 1200,  835;
$8, 2919, 3976, 3976,  276;
$9,  258,  594,  102,32201;
$1,  834, 1189, 2190,  509;
$2, 2062, 2004, 1967,  158;
$3,64644,50024,64644,50024;
$4,20351,59263,59136,  158;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1188,  833, 1188,  833;
$8, 2923, 3976, 3976,  276;
$9,  258,  600,  102,32201;
$1,  834, 1190, 2256,  484;
$2, 2069, 2005, 1973,  161;
$3,64644,50024,64644,50024;
$4,22399,60287,58880,  161;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1194,  832, 1194,  832;
$8, 2929, 3976, 3976,  275;
$9,  257,  603,  102,32201;
$1,  835, 1190, 2196,  507;
$2, 2062, 2007, 1968,  160;
$3,64644,50024,64644,50024;
$4,24191,61055,34304,  160;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1197,  832, 1197,  832;
$8, 2928, 3976, 3976,  276;
$9,  246,  597,  102,32201;
$1,  834, 1190, 2179,  506;
$2, 2058, 2005, 1976,  161;
$3,64644,50024,64644,50024;
$4,54655,59775,59136,  161;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1198,  834, 1198,  834;
$8, 2928, 3977, 3976,  276;
$9,  246,  597,  102,32201;
$1,  834, 1188, 2183,  505;
$2, 2061, 2005, 1968,  160;
$3,64644,50024,64644,50024;
$4,22399,59519,58112,  160;
$5,65535,    1,53188,    0;
$6, 2236, 2068, 2236, 2068;
$7, 1197,  834, 1197,  834;
$8, 2918, 3976, 3976,  276;
$9,  256,  594,  102,32201;
$1,  834, 1189, 2174,  503;
$2, 2056, 2008, 1970,  161;
$3,64644,50024,64644,50024;
$4,24447,59263,57088,  161;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1188,  833, 1188,  833;
$8, 2923, 3977, 3976,  276;
$9,  257,  594,  102,32201;
$1,  834, 1189, 2186,  506;
$2, 2052, 2009, 1970,  161;
$3,64644,50024,64644,50024;
$4,22399,60287,58880,  161;
$5,65535,    1,53188,    0;
$6, 2236, 2068, 2236, 2068;
$7, 1195,  834, 1195,  834;
$8, 2926, 3977, 3976,  275;
$9,  258,  601,  102,32201;
$1,  835, 1190, 2197,  504;
$2, 2057, 2007, 1970,  161;
$3,64644,50024,64644,50024;
$4,22911,58751,58368,  161;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1199,  835, 1199,  835;
$8, 2919, 3976, 3976,  276;
$9,  258,  592,  102,32201;
$1,  834, 1190, 2204,  503;
$2, 2058, 2010, 1968,  159;
$3,64644,50024,64644,50024;
$4,24447,60287,58880,  159;
$5,65535,    1,53188,    0;
$6, 2235, 2069, 2235, 2069;
$7, 1189,  834, 1189,  834;
$8, 2920, 3976, 3976,  276;
$9,  248,  596,  102,32201;
$1,  834, 1192, 2185,  505;
$2, 2057, 2007, 1972,  159;
$3,64644,50024,64644,50024;
$4,22399,60287,59136,  159;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1193,  833, 1193,  833;
$8, 2923, 3976, 3976,  276;
$9,  258,  587,  102,32201;
$1,  834, 1190, 2176,  510;
$2, 2062, 2008, 1974,  160;
$3,64644,50024,64644,50024;
$4,20863,59263,58624,  160;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1200,  833, 1200,  833;
$8, 2921, 3976, 3976,  275;
$9,  256,  595,  102,32201;
$1,  834, 1192, 2173,  507;
$2, 2057, 2008, 1971,  161;
$3,64644,50024,64644,50024;
$4,23423,60799,60672,  161;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1194,  833, 1194,  833;
$8, 2931, 3977, 3976,  276;
$9,  256,  599,  102,32201;
$1,  835, 1188, 2267,  483;
$2, 2061, 2009, 1974,  160;
$3,64644,50024,64644,50024;
$4,24447,61311,60672,  160;
$5,65535,    1,53188,    0;
$6, 2235, 2069, 2235, 2069;
$7, 1192,  834, 1192,  834;
$8, 2928, 3977, 3977,  276;
$9,  246,  604,  102,32201;
$1,  835, 1188, 2196,  509;
$2, 2057, 2009, 1970,  161;
$3,64644,50024,64644,50024;
$4,21375,61055,58112,  161;
$5,65535,    1,53188,    0;
$6, 2235, 2069, 2235, 2069;
$7, 1197,  833, 1197,  833;
$8, 2919, 3976, 3976,  276;
$9,  257,  592,  102,32201;
$1,  834, 1188, 2182,  511;
$2, 2065, 2008, 1968,  159;
$3,64644,50024,64644,50024;
$4,22911,60543,59136,  159;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1189,  833, 1189,  833;
$8, 2919, 3976, 3976,  276;
$9,  258,  597,  102,32201;
$1,  834, 1187, 2180,  509;
$2, 2062, 2003, 1971,  162;
$3,64644,50024,64644,50024;
$4,24447,61567,59136,  162;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1196,  835, 1196,  835;
$8, 2919, 3976, 3977,  276;
$9,  258,  591,  102,32201;
$1,  835, 1190, 2125,  511;
$2, 2060, 2008, 1971,  160;
$3,64644,50024,64644,50024;
$4,22143,60799,59392,  160;
$5,65535,    1,53188,    0;
$6, 2235, 2069, 2235, 2069;
$7, 1189,  832, 1189,  832;
$8, 2923, 3976, 3976,  276;
$9,  256,  600,  102,32201;
$1,  835, 1188, 2165,  507;
$2, 2060, 2009, 1972,  160;
$3,64644,50024,64644,50024;
$4,21887,60031,58880,  160;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1193,  835, 1193,  835;
$8, 2919, 3976, 3975,  276;
$9,  258,  596,  102,32201;
$1,  835, 1190, 2193,  508;
$2, 2061, 2008, 1967,  160;
$3,64644,50024,64644,50024;
$4,22911,60287,59648,  160;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1199,  833, 1199,  833;
$8, 2919, 3976, 3977,  276;
$9,  257,  602,  102,32201;
$1,  835, 1188, 2202,  504;
$2, 2060, 2009, 1974,  162;
$3,64644,50024,64644,50024;
$4,22911,60287,58368,  162;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1188,  832, 1188,  832;
$8, 2923, 3977, 3976,  276;
$9,  257,  599,  102,32201;
$1,  834, 1187, 2181,  512;
$2, 2058, 2009, 1973,  160;
$3,64644,50024,64644,50024;
$4,21887,60031,34048,  160;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1194,  833, 1194,  833;
$8, 2923, 3977, 3976,  276;
$9,  257,  595,  102,32201;
$1,  835, 1188, 2158,  508;
$2, 2059, 2008, 1973,  160;
$3,64644,50024,64644,50024;
$4,56703,61055,58112,  160;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1190,  835, 1190,  835;
$8, 2927, 3976, 3975,  276;
$9,  256,  598,  102,32201;
$1,  834, 1187, 2188,  507;
$2, 2058, 2003, 1971,  161;
$3,64644,50024,64644,50024;
$4,23167,60031,57856,  161;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1188,  833, 1188,  833;
$8, 2923, 3976, 3976,  276;
$9,  250,  598,  102,32201;
$1,  834, 1188, 2252,  485;
$2, 2064, 2007, 1970,  158;
$3,64644,50024,64644,50024;
$4,21375,59263,58112,  158;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1192,  836, 1192,  836;
$8, 2919, 3977, 3976,  276;
$9,  252,  604,  102,32201;
$1,  835, 1190, 2197,  510;
$2, 2060, 2008, 1973,  159;
$3,64644,50024,64644,50024;
$4,22911,60031,58880,  159;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1189,  833, 1189,  833;
$8, 2919, 3976, 3976,  275;
$9,  251,  593,  102,32201;
$1,  834, 1188, 2186,  509;
$2, 2051, 2005, 1977,  160;
$3,64644,50024,64644,50024;
$4,24447,60287,59136,  160;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1192,  834, 1192,  834;
$8, 2924, 3976, 3977,  276;
$9,  254,  595,  102,32201;
$1,  834, 1188, 2186,  513;
$2, 2062, 2003, 1974,  162;
$3,64644,50024,64644,50024;
$4,21887,60543,58368,  162;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1195,  833, 1195,  833;
$8, 2922, 3976, 3977,  276;
$9,  257,  593,  102,32201;
$1,  834, 1188, 2173,  511;
$2, 2062, 2008, 1976,  159;
$3,64644,50024,64644,50024;
$4,22399,60543,59136,  159;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1200,  834, 1200,  834;
$8, 2923, 3976, 3977,  276;
$9,  258,  598,  102,32201;
$1,  834, 1189, 2161,  515;
$2, 2061, 2010, 1973,  160;
$3,64644,50024,64644,50024;
$4,24191,61311,59904,  160;
$5,65535,    1,53188,    0;
$6, 2236, 2067, 2236, 2067;
$7, 1189,  836, 1189,  836;
$8, 2928, 3976, 3976,  276;
$9,  248,  595,  102,32201;
$1,  834, 1190, 2186,  511;
$2, 2062, 2005, 1969,  160;
$3,64644,50024,64644,50024;
$4,24191,61055,63232,  160;
$5,65535,    1,53188,    0;
$6, 2235, 2069, 2235, 2069;
$7, 1200,  834, 1200,  834;
$8, 2923, 3976, 3977,  276;
$9,  258,  593,  102,32201;
$1,  834, 1189, 2194,  502;
$2, 2061, 2010, 1963,  161;
$3,64644,50024,64644,50024;
$4,22399,60287,58624,  161;
$5,65535,    1,53188,    0;
$6, 2236, 2068, 2236, 2068;
$7, 1196,  830, 1196,  830;
$8, 2921, 3976, 3976,  276;
$9,  256,  596,  102,32201;
$1,  835, 1189, 2181,  514;
$2, 2059, 2010, 1963,  158;
$3,64644,50024,64644,50024;
$4,22911,60287,59648,  158;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1188,  833, 1188,  833;
$8, 2919, 3976, 3976,  276;
$9,  256,  597,  102,32201;
$1,  835, 1190, 2167,  509;
$2, 2064, 2005, 1974,  162;
$3,64644,50024,64644,50024;
$4,22399,61055,58880,  162;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1197,  833, 1197,  833;
$8, 2919, 3977, 3976,  276;
$9,  257,  595,  102,32201;
$1,  835, 1190, 2177,  512;
$2, 2057, 2006, 1968,  159;
$3,64644,50024,64644,50024;
$4,22399,60287,58880,  159;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1195,  833, 1195,  833;
$8, 2919, 3976, 3976,  276;
$9,  258,  595,  102,32201;
$1,  835, 1190, 2264,  486;
$2, 2059, 2008, 1973,  160;
$3,64644,50024,64644,50024;
$4,23167,59775,59136,  160;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1200,  835, 1200,  835;
$8, 2919, 3976, 3976,  275;
$9,  255,  597,  102,32201;
$1,  834, 1190, 2188,  514;
$2, 2058, 2005, 1972,  161;
$3,64644,50024,64644,50024;
$4,23423,60031,58112,  161;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1189,  832, 1189,  832;
$8, 2923, 3976, 3976,  276;
$9,  258,  599,  102,32201;
$1,  834, 1190, 2178,  508;
$2, 2058, 2010, 1973,  158;
$3,64644,50024,64644,50024;
$4,22911,60287,58880,  158;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1197,  833, 1197,  833;
$8, 2919, 3976, 3976,  275;
$9,  256,  598,  102,32201;
$1,  834, 1192, 2179,  507;
$2, 2059, 2008, 1968,  159;
$3,64644,50024,64644,50024;
$4,24191,59775,58112,  159;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1189,  831, 1189,  831;
$8, 2919, 3977, 3976,  276;
$9,  257,  599,  102,32201;
$1,  835, 1188, 2161,  512;
$2, 2064, 2005, 1975,  161;
$3,64644,50024,64644,50024;
$4,23679,60287,65280,  161;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1193,  833, 1193,  833;
$8, 2919, 3976, 3976,  276;
$9,  252,  591,  102,32201;
$1,  834, 1188, 2177,  509;
$2, 2065, 2009, 1972,  156;
$3,64644,50024,64644,50024;
$4,22143,60543,57600,  156;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1192,  832, 1192,  832;
$8, 2928, 3977, 3976,  276;
$9,  247,  593,  102,32201;
$1,  834, 1189, 2187,  510;
$2, 2053, 2008, 1967,  160;
$3,64644,50024,64644,50024;
$4,21375,59775,58112,  160;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1193,  829, 1193,  829;
$8, 2918, 3977, 3976,  276;
$9,  257,  596,  102,32201;
$1,  835, 1190, 2192,  506;
$2, 2067, 2007, 1979,  162;
$3,64644,50024,64644,50024;
$4,22911,60287,58880,  162;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1199,  833, 1199,  833;
$8, 2919, 3977, 3976,  276;
$9,  257,  599,  102,32201;
$1,  835, 1188, 2170,  509;
$2, 2052, 2008, 1970,  161;
$3,64644,50024,64644,50024;
$4,22399,60799,58880,  161;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1190,  834, 1190,  834;
$8, 2928, 3977, 3976,  276;
$9,  246,  596,  102,32201;
$1,  835, 1190, 2158,  507;
$2, 2063, 2008, 1972,  161;
$3,64644,50024,64644,50024;
$4,22399,60287,59136,  161;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1193,  832, 1193,  832;
$8, 2928, 3976, 3975,  275;
$9,  246,  588,  102,32201;
$1,  835, 1190, 2188,  511;
$2, 2053, 2003, 1970,  157;
$3,64644,50024,64644,50024;
$4,22911,61311,58880,  157;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1195,  833, 1195,  833;
$8, 2919, 3976, 3976,  276;
$9,  258,  601,  102,32201;
$1,  835, 1187, 2270,  481;
$2, 2053, 2009, 1973,  158;
$3,64644,50024,64644,50024;
$4,23679,61311,60672,  158;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1194,  834, 1194,  834;
$8, 2932, 3976, 3975,  275;
$9,  250,  592,  102,32201;
$1,  834, 1188, 2199,  508;
$2, 2062, 2006, 1975,  161;
$3,64644,50024,64644,50024;
$4,23935,59775,58880,  161;
$5,65535,    1,53188,    0;
$6, 2234, 2067, 2234, 2067;
$7, 1192,  835, 1192,  835;
$8, 2919, 3977, 3976,  276;
$9,  252,  588,  102,32201;
$1,  835, 1188, 2179,  509;
$2, 2065, 2008, 1971,  157;
$3,64644,50024,64644,50024;
$4,23167,60287,62976,  157;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1193,  832, 1193,  832;
$8, 2928, 3977, 3975,  276;
$9,  247,  596,  102,32201;
$1,  834, 1188, 2174,  505;
$2, 2059, 2007, 1964,  160;
$3,64644,50024,64644,50024;
$4,22911,60287,58368,  160;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1188,  834, 1188,  834;
$8, 2924, 3976, 3976,  276;
$9,  248,  596,  102,32201;
$1,  835, 1188, 2168,  510;
$2, 2055, 2008, 1972,  157;
$3,64644,50024,64644,50024;
$4,21631,60031,58624,  157;
$5,65535,    1,53188,    0;
$6, 2236, 2067, 2236, 2067;
$7, 1194,  832, 1194,  832;
$8, 2929, 3976, 3976,  275;
$9,  257,  598,  102,32201;
$1,  834, 1187, 2185,  506;
$2, 2063, 2010, 1973,  160;
$3,64644,50024,64644,50024;
$4,21887,60287,58368,  160;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1188,  834, 1188,  834;
$8, 2928, 3976, 3976,  276;
$9,  248,  594,  102,32201;
$1,  835, 1189, 2192,  507;
$2, 2060, 2006, 1969,  161;
$3,64644,50024,64644,50024;
$4,23679,60287,58624,  161;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1193,  833, 1193,  833;
$8, 2923, 3976, 3976,  275;
$9,  258,  601,  102,32201;
$1,  835, 1189, 2196,  503;
$2, 2060, 2009, 1976,  156;
$3,64644,50024,64644,50024;
$4,22911,60287,59136,  156;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1197,  833, 1197,  833;
$8, 2919, 3976, 3976,  276;
$9,  258,  596,  102,32201;
$1,  835, 1189, 2175,  508;
$2, 2059, 2006, 1971,  161;
$3,64644,50024,64644,50024;
$4,22399,59775,57856,  161;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1188,  836, 1188,  836;
$8, 2928, 3976, 3976,  276;
$9,  246,  601,  102,32201;
$1,  835, 1190, 2134,  506;
$2, 2055, 2005, 1964,  163;
$3,64644,50024,64644,50024;
$4,23423,60287,58880,  163;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1192,  832, 1192,  832;
$8, 2923, 3977, 3977,  276;
$9,  254,  598,  102,32201;
$1,  834, 1188, 2173,  505;
$2, 2062, 2008, 1972,  160;
$3,64644,50024,64644,50024;
$4,23423,60287,58368,  160;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1190,  835, 1190,  835;
$8, 2933, 3976, 3977,  276;
$9,  252,  598,  102,32201;
$1,  834, 1188, 2285,  480;
$2, 2058, 2008, 1970,  160;
$3,64644,50024,64644,50024;
$4,22911,59519,58112,  160;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1189,  832, 1189,  832;
$8, 2923, 3976, 3976,  276;
$9,  258,  593,  102,32201;
$1,  834, 1187, 2183,  508;
$2, 2056, 2011, 1970,  159;
$3,64644,50024,64644,50024;
$4,22911,60287,58368,  159;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1196,  835, 1196,  835;
$8, 2919, 3976, 3976,  276;
$9,  254,  595,  102,32201;
$1,  835, 1190, 2182,  505;
$2, 2063, 2008, 1972,  160;
$3,64644,50024,64644,50024;
$4,23423,60287,58880,  160;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1188,  833, 1188,  833;
$8, 2923, 3976, 3976,  276;
$9,  256,  601,  102,32201;
$1,  834, 1187, 2178,  505;
$2, 2062, 2008, 1977,  162;
$3,64644,50024,64644,50024;
$4,22399,61311,60160,  162;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1197,  831, 1197,  831;
$8, 2919, 3976, 3976,  276;
$9,  255,  587,  102,32201;
$1,  833, 1188, 2163,  504;
$2, 2059, 2008, 1972,  160;
$3,64644,50024,64644,50024;
$4,23423,61055,58112,  160;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1192,  833, 1192,  833;
$8, 2919, 3977, 3976,  276;
$9,  256,  590,  102,32201;
$1,  834, 1187, 2181,  506;
$2, 2061, 2010, 1974,  163;
$3,64644,50024,64644,50024;
$4,22911,60799,59392,  163;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1194,  833, 1194,  833;
$8, 2930, 3976, 3976,  276;
$9,  257,  590,  102,32201;
$1,  835, 1190, 2181,  504;
$2, 2062, 2009, 1974,  158;
$3,64644,50024,64644,50024;
$4,22911,61055,59136,  158;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1200,  835, 1200,  835;
$8, 2918, 3976, 3976,  276;
$9,  256,  594,  102,32201;
$1,  835, 1189, 2206,  502;
$2, 2056, 2009, 1972,  159;
$3,64644,50024,64644,50024;
$4,22911,60287,59136,  159;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1192,  832, 1192,  832;
$8, 2928, 3977, 3977,  276;
$9,  248,  590,  102,32201;
$1,  834, 1190, 2184,  505;
$2, 2059, 2004, 1976,  162;
$3,64644,50024,64644,50024;
$4,22911,60543,58880,  162;
$5,65535,    1,53188,    0;
$6, 2234, 2070, 2234, 2070;
$7, 1197,  834, 1197,  834;
$8, 2924, 3976, 3976,  276;
$9,  248,  586,  102,32201;
$1,  834, 1188, 2160,  505;
$2, 2059, 2008, 1972,  161;
$3,64644,50024,64644,50024;
$4,22399,60543,58112,  161;
$5,65535,    1,53188,    0;
$6, 2235, 2069, 2235, 2069;
$7, 1192,  832, 1192,  832;
$8, 2928, 3976, 3976,  276;
$9,  246,  600,  102,32201;
$1,  835, 1188, 2171,  506;
$2, 2052, 2003, 1969,  159;
$3,64644,50024,64644,50024;
$4,22911,59775,59648,  159;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1193,  833, 1193,  833;
$8, 2919, 3976, 3976,  276;
$9,  254,  593,  102,32201;
$1,  834, 1187, 2278,  480;
$2, 2067, 2007, 1970,  158;
$3,64644,50024,64644,50024;
$4,23167,60799,58368,  158;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1189,  833, 1189,  833;
$8, 2919, 3976, 3976,  276;
$9,  258,  590,  102,32201;
$1,  834, 1190, 2201,  502;
$2, 2063, 2008, 1972,  161;
$3,64644,50024,64644,50024;
$4,22399,60543,58112,  161;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1199,  834, 1199,  834;
$8, 2924, 3976, 3977,  276;
$9,  248,  597,  102,32201;
$1,  834, 1192, 2173,  504;
$2, 2055, 2005, 1974,  160;
$3,64644,50024,64644,50024;
$4,21887,60287,59392,  160;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1189,  831, 1189,  831;
$8, 2919, 3977, 3976,  276;
$9,  257,  597,  102,32201;
$1,  835, 1188, 2181,  504;
$2, 2064, 2008, 1971,  159;
$3,64644,50024,64644,50024;
$4,23423,60031,57856,  159;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1192,  833, 1192,  833;
$8, 2919, 3976, 3976,  276;
$9,  252,  596,  102,32201;
$1,  835, 1187, 2176,  505;
$2, 2052, 2009, 1967,  159;
$3,64644,50024,64644,50024;
$4,22399,60031,57600,  159;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1199,  831, 1199,  831;
$8, 2919, 3976, 3975,  276;
$9,  258,  596,  102,32201;
$1,  834, 1188, 2168,  509;
$2, 2057, 2008, 1972,  161;
$3,64644,50024,64644,50024;
$4,23167,59775,58112,  161;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1193,  829, 1193,  829;
$8, 2919, 3976, 3976,  276;
$9,  254,  595,  102,32201;
$1,  834, 1188, 2185,  505;
$2, 2057, 2008, 1973,  158;
$3,64644,50024,64644,50024;
$4,22911,59519,58112,  158;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1192,  832, 1192,  832;
$8, 2928, 3976, 3976,  276;
$9,  248,  594,  102,32201;
$1,  835, 1189, 2189,  502;
$2, 2062, 2008, 1969,  161;
$3,64644,50024,64644,50024;
$4,23167,60287,58880,  161;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1195,  833, 1195,  833;
$8, 2919, 3976, 3976,  275;
$9,  257,  597,  102,32201;
$1,  834, 1188, 2186,  506;
$2, 2050, 2012, 1969,  162;
$3,64644,50024,64644,50024;
$4,23423,60287,58624,  162;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1188,  834, 1188,  834;
$8, 2928, 3976, 3976,  275;
$9,  247,  594,  102,32201;
